Comunidad Autónoma,Segmento (Cluster),Riesgo Final (IRT),Vulnerabilidad (IRT norm),Inercia (Alfa),Impacto Macro (n1xn3),Impacto Terri (n2xn3),Impacto Digital (Gamma),B.Estr (n1),B.Coyu (n1),B.Fin (n1),B.Lab (n1),B.Inmo (n1),B.Agr (n2),B.Ind (n2),B.Cons (n2),B.Serv (n2),ADN (n3),Masa_Total
valencia,C1_Base,0.2870133085625965,100.0,0.2620988944553862,0.01600604856753505,0.008135516299504727,1.0027,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.10442309900951692,101954.346
aragon,C1_Base,0.28024722552865855,98.67630769085245,0.0787786717759444,0.13434018698276928,0.06828211074490975,0.9959,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.8764323428776836,31336.351000000002
castillalamancha,C1_Base,0.277464465659433,98.1318984930016,0.0828064549859112,0.1278717764108862,0.06499436240293732,1.0065,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.8342325785365977,32887.920000000006
castillaleon,C1_Base,0.25708201464737457,94.14434860469704,0.110339238317089,0.10202140630876642,0.05185519776610201,0.973,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.665585348383777,43494.0055
larioja,C1_Base,0.2541702338149712,93.57469820660958,0.0138934273347139,0.16020332259712353,0.08142776380594402,0.9947,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,1.0451628549437348,6341.477000000001
extremadura,C1_Base,0.2516587737148162,93.0833651262097,0.0392693722139757,0.14233115764284207,0.0723437423074771,0.991,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.9285652548139511,16116.7125
murcia,C1_Base,0.24308234041997512,91.40550236050686,0.0630877401817341,0.11619322856568438,0.05905841787869695,1.0199,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,0.758041996408763,25291.943500000005
andalucia,C1_Base,0.24276226523274036,91.34288399452369,0.3904541198634162,-0.09915073891169758,-0.05039610176868764,1.0077,0.3778277090768915,-0.2845229571964571,0.1167538767154792,-0.5046299955661345,0.4478520943127056,-1.064977627890187,0.8190465772637477,0.3453182807570145,-0.0214780665769895,-0.6468571791818216,151398.91100000002
navarra,C1_Escudo,0.09345762227420305,62.133457120373606,0.0387780681155802,0.07370220698059504,-0.019227808249035888,1.0022,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,0.5627956987808397,15927.454
paisvasco,C1_Escudo,0.08783416760783289,61.03330454237873,0.1685043675745016,-0.1074080761283221,0.02802116757150808,0.9856,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,-0.8201762977770821,65900.1795
asturias,C1_Escudo,0.08654972448343637,60.78202067891253,0.053515990444249,0.049230668288449485,-0.012843548227415048,0.9627,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,0.3759291545793268,21604.7465
cataluña,C1_Escudo,0.07900327994638777,59.30566123357388,0.5203868681036877,-0.5984877791367598,0.1561365490678289,1.0124,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,-4.570098531238666,201451.164
galicia,C1_Escudo,0.07622561255783258,58.76224831044566,0.1204523730669906,-0.057668281212481194,0.01504479578877483,0.9794,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,-0.4403594132671424,47389.753000000004
cantabria,C1_Escudo,0.05445258801186536,54.5026515845681,0.0214805871631005,0.046082968509055154,-0.012022360229616532,0.9804,0.3574572590310371,-0.2768621624040024,0.1264789309645578,-0.4678826775735183,0.3917659532098165,-1.1535094501894934,0.9157070465515216,0.3141208932401259,-0.1104832998355803,0.3518930779206869,9264.177
madrid,C0_Dinámico,-0.026553072884696688,38.65499352474864,0.934343580352064,3.2330975897365004,-4.193540121223513,1.0174,0.3335467791637228,-0.2678700547559008,0.1378940304497289,-0.4247493150281454,0.3259330165463048,-1.233853244203971,1.0034276946993022,0.2858088534407772,-0.1912567205267601,30.863580429845737,360914.166
