Variable_34m_ccaa,Contribución (%)_34m_ccaa,Carga_PC1_34m_ccaa,Max_Corr_34m_ccaa,Dirección_34m_ccaa,Lag_34m_ccaa
PIB_Extremadura,2.79,0.1726,0.9985,Directa,0
PIB_Navarra,2.79,0.1726,0.9984,Directa,0
PIB_PaisVasco,2.78,0.1723,0.997,Directa,0
PIB_Galicia,2.78,0.1725,0.9979,Directa,0
PIB_Cataluña,2.78,0.1723,0.997,Directa,0
PIB_Aragon,2.78,0.1725,0.9976,Directa,0
PIB_Murcia,2.78,0.1724,0.9974,Directa,0
PIB_Madrid,2.78,0.1719,0.9947,Directa,0
Renta_PaisVasco,2.78,0.1725,0.9977,Directa,0
Renta_Cataluña,2.78,0.172,0.9948,Directa,0
PIB_Valencia,2.77,0.1717,0.993,Directa,0
PIB_LaRioja,2.77,0.1716,0.9924,Directa,0
PIB_CastillaLaMancha,2.77,0.1716,0.9929,Directa,0
Renta_Madrid,2.77,0.1716,0.9925,Directa,0
Renta_Aragon,2.77,0.1715,0.9923,Directa,0
Renta_Asturias,2.77,0.1719,0.9942,Directa,0
Renta_Galicia,2.77,0.1717,0.9932,Directa,0
PIB_Andalucia,2.77,0.1718,0.9936,Directa,0
PIB_Cantabria,2.77,0.1717,0.9933,Directa,0
Renta_CastillaLeon,2.76,0.1708,0.9881,Directa,0
PIB_CastillaLeon,2.76,0.1709,0.9886,Directa,0
Renta_Andalucia,2.75,0.1704,0.986,Directa,0
Renta_Cantabria,2.75,0.1706,0.9867,Directa,0
Renta_Extremadura,2.73,0.169,0.9775,Directa,0
Renta_LaRioja,2.73,0.1691,0.9781,Directa,0
Renta_Murcia,2.73,0.1692,0.979,Directa,0
Renta_Valencia,2.73,0.1691,0.9783,Directa,0
Renta_Navarra,2.72,0.1686,0.9752,Directa,0
PIB_Baleares,2.71,0.1678,0.9709,Directa,0
Renta_CastillaLaMancha,2.71,0.168,0.9721,Directa,0
PIB_Canarias,2.7,0.1675,0.9691,Directa,0
Renta_Canarias,2.69,0.1669,0.9656,Directa,0
PIB_Asturias,2.67,0.1656,0.958,Directa,0
Renta_Baleares,2.58,0.16,0.9254,Directa,0
Paro_Navarra,0.88,0.0548,0.5519,Directa,-3
Paro_Madrid,0.7,0.0432,0.4904,Directa,-3
Paro_LaRioja,0.59,0.0365,0.46,Directa,-3
Paro_Canarias,0.59,0.0366,0.4382,Directa,-3
Paro_CastillaLaMancha,0.56,0.0344,0.4351,Directa,-3
Paro_Aragon,0.55,0.0341,0.4619,Directa,-3
Paro_Valencia,0.47,0.0291,0.4396,Directa,-3
Paro_Murcia,0.37,0.0226,0.418,Directa,-3
Paro_Galicia,0.37,-0.0228,0.1821,Directa,-3
Paro_Baleares,0.28,0.0175,0.3835,Directa,-3
Paro_Asturias,0.28,0.0172,0.3543,Directa,-3
Paro_PaisVasco,0.24,-0.0149,0.2505,Directa,-3
Paro_Extremadura,0.23,0.0142,0.3455,Directa,-3
Paro_CastillaLeon,0.18,-0.0109,0.2342,Directa,-3
Paro_Andalucia,0.16,0.0101,0.3695,Directa,-3
Paro_Cantabria,0.06,-0.0034,0.2976,Directa,-3
Paro_Cataluña,0.02,0.001,0.3299,Directa,-3
