CCAA,Alfa
Andalucia,0.39045411986341627
Aragon,0.07877867177594444
Asturias,0.05351599044424907
Baleares,0.07944002825018362
Canarias,0.09667407865665212
Cantabria,0.021480587163100574
CastillaLaMancha,0.08280645498591124
CastillaLeon,0.11033923831708906
Cataluña,0.5203868681036877
CeutaMelilla,0.0026720472826754
Extremadura,0.03926937221397578
Galicia,0.12045237306699068
LaRioja,0.013893427334713996
Madrid,0.934343580352064
Murcia,0.06308774018173412
Navarra,0.03877806811558022
PaisVasco,0.16850436757450168
Valencia,0.2620988944553862
