CCAA,GT,p_serv_24,p_cons_24,varp_serv,varp_cons,ISC,Vanguardia,Gap_Institucional
Ceuta_Melilla,GT1,0.8791685463299612,0.061206847444850644,-0.8395110048818872,-0.1169053253034551,0.23835,-1,-2
PaisVasco,GT1,0.6619030597173835,0.07936383728598594,-0.5264324210143768,-0.12238423556542342,0.2248,0,2
Baleares,GT2,0.8130260910075265,0.10932787383534609,-0.7226981502347783,-0.16660821457381375,0.24764999999999998,0,-1
Valencia,GT2,0.7022052702944852,0.07767665438059859,-0.5910763190207955,-0.1673944714691363,0.26195,0,0
Murcia,GT3,0.6451108599074175,0.06940248701190174,-0.5775366389653932,-0.17222368438270386,0.2377,0,0
Madrid,GT3,0.8351862237046512,0.057037858691006714,-0.7243703136862516,-0.14758105937502186,0.2152,-1,2
CastillaLaMancha,GT4,0.5873783488185038,0.07764395815023462,-0.491490363542159,-0.17428584745564724,0.2566,0,0
CastillaLeon,GT4,0.6377717072988798,0.07318020128111377,-0.5388625011875281,-0.14176848078475413,0.2508,0,1
Aragon,GT5,0.6140599283138998,0.0685460388213387,-0.5341243272334949,-0.14270608856379385,0.2595,0,0
Canarias,GT5,0.8268764467783754,0.07216366065113748,-0.7405429132965184,-0.14663639155269714,0.22760000000000002,0,0
Navarra,GT6,0.5740627144138387,0.06745347195010663,-0.512487179523249,-0.13461058945750715,0.2298,0,3
Andalucia,GT6,0.7158927261694205,0.07756096733249448,-0.6072555602176496,-0.18747238385432122,0.239,0,0
Extremadura,GT7,0.6343552477453124,0.08380354279342075,-0.5765716334013063,-0.1823436788902992,0.24559999999999998,0,0
Asturias,GT7,0.6867492412766355,0.07809501586547248,-0.5414993469965143,-0.16156919522158825,0.22575,0,1
LaRioja,GT8,0.5892426040772827,0.0667750541860092,-0.4677480790564925,-0.14161766376392082,0.2464,0,0
Galicia,GT8,0.6698978616377532,0.08086139388758871,-0.5379463373435195,-0.15676523696448025,0.21115,0,1
Cantabria,GT9,0.6709741962729416,0.07747159764664466,-0.5555306570826906,-0.1704966353649267,0.1842,0,-1
Cataluña,GT9,0.7212871694222981,0.06201049936105015,-0.5704631358582603,-0.13301098969667166,0.21139999999999998,0,0
