CCAA,GT,p_serv_24,p_cons_24,varp_serv,varp_cons,ISC,Vanguardia,Gap_Institucional,Cluster
PaisVasco,gt1,0.6856762485389936,0.06511672912649383,0.08072353593340076,-0.03758831159084247,0.2248,0,2,2
Ceuta_Melilla,gt1,0.910745133794063,0.050219216233093424,0.03580714409007313,-0.04045336217533121,0.23835,-1,-2,1
Baleares,gt2,0.8422270782135233,0.08970173053576391,0.060427190372416284,-0.05077062587835732,0.24764999999999998,0,-1,2
Valencia,gt2,0.7274259702703522,0.0637324231756479,0.069047744335891,-0.06102733092410305,0.26195,0,0,0
Murcia,gt3,0.6682809330144952,0.05694360431658492,0.04586080587322028,-0.0660624071942888,0.2377,0,0,2
Madrid,gt3,0.8651831235615816,0.04679862921639948,0.07125079295790038,-0.05736788902829739,0.2152,-1,2,1
CastillaLeon,gt4,0.660678184312554,0.06004315702469229,0.0616823050259524,-0.049381993023567605,0.2508,0,1,0
CastillaLaMancha,gt4,0.6084748767634721,0.06370559645394597,0.05924903551703853,-0.06454574482017694,0.2566,0,0,0
Aragon,gt5,0.6361147630956331,0.05624090259823419,0.05160206341868123,-0.05130242130104234,0.2595,0,0,0
Canarias,gt5,0.8565748891904674,0.05920910208088062,0.058639786651972,-0.05217668690309163,0.22760000000000002,0,0,0
Andalucia,gt6,0.7416050305701729,0.06363750384673877,0.06802239501981566,-0.0712845340214601,0.239,0,0,0
Navarra,gt6,0.5946809924303103,0.05534446936819478,0.041544848322421335,-0.04752143344349765,0.2298,0,3,2
Asturias,gt7,0.7114148160104006,0.06407568192445717,0.0861433103811291,-0.05793154327622163,0.22575,0,1,0
Extremadura,gt7,0.6571390177600145,0.06875943480725966,0.04068557225186453,-0.06672964746003318,0.24559999999999998,0,0,2
Galicia,gt8,0.6939581951293478,0.06634544979969872,0.07907406819180773,-0.05462449282354599,0.21115,0,1,0
LaRioja,gt8,0.6104060893986039,0.05478783869999578,0.07231782112030227,-0.051299829349292496,0.2464,0,0,0
Cantabria,gt9,0.6950731878522153,0.06356417748268416,0.07068937529070252,-0.06267042346350012,0.1842,0,-1,0
Cataluña,gt9,0.7471932229169025,0.05087859947272405,0.08959453646905546,-0.04840210091434263,0.21139999999999998,0,0,2
