ADN (n3),CCAA,cluster_4
1.238118406531465,Valencia,C1_Base
1.2171854418588095,Aragon,C1_Base
1.192407646940156,CastillaLaMancha,C1_Base
1.1428520571028495,CastillaLeon,C1_Base
1.1159382453808637,Baleares,C2_Extremo
1.105258161364203,LaRioja,C1_Base
1.0984229075935397,Extremadura,C1_Base
1.04203206398557,Andalucia,C1_Base
1.0364784202969064,CeutaMelilla,C0_Dinámico
1.0309247766082428,Murcia,C1_Base
0.9634266456229457,Navarra,C1_Escudo
0.9446296977536226,Canarias,C0_Dinámico
0.9288231734089644,Asturias,C1_Escudo
0.920706309556302,PaisVasco,C1_Escudo
0.838683264308346,Madrid,C0_Dinámico
0.8062158088976965,Cataluña,C1_Escudo
0.8040797920943646,Galicia,C1_Escudo
0.5738171806951549,Cantabria,C1_Escudo
