Unidad,Valor,Tipo,Ranking_Grupo,Perfil,Lag_PCA,Sensibilidad
Andalucia,75.49657860192569,Territorio,7,Alta Digitalización,0,Media (Sincroniza)
Aragon,74.61581792340958,Territorio,11,Baja Digitalización,0,Media (Sincroniza)
Asturias,72.12932703272241,Territorio,18,Baja Digitalización,0,Media (Sincroniza)
Baleares,76.81632617898222,Territorio,2,Alta Digitalización,0,Media (Sincroniza)
Canarias,75.75293904060153,Territorio,6,Alta Digitalización,0,Media (Sincroniza)
Cantabria,73.45760546308378,Territorio,15,Baja Digitalización,0,Media (Sincroniza)
Castilla Leon,72.89820023713072,Territorio,17,Baja Digitalización,0,Media (Sincroniza)
Castilla la Mancha,75.4115293550855,Territorio,8,Alta Digitalización,0,Media (Sincroniza)
Cataluña,75.8546922709628,Territorio,5,Alta Digitalización,0,Media (Sincroniza)
Valencia,75.12707625604965,Territorio,9,Alta Digitalización,0,Media (Sincroniza)
Extremadura,74.25059522401365,Territorio,13,Baja Digitalización,0,Media (Sincroniza)
Galicia,73.37722542153048,Territorio,16,Baja Digitalización,0,Media (Sincroniza)
Madrid,76.2267456330001,Territorio,4,Alta Digitalización,-1,Alta (Anticipa)
Murcia,76.4119038219989,Territorio,3,Alta Digitalización,0,Media (Sincroniza)
Navarra,75.08508291513391,Territorio,10,Baja Digitalización,0,Media (Sincroniza)
Pais Vasco,73.84413725429486,Territorio,14,Baja Digitalización,0,Media (Sincroniza)
La Rioja,74.5262771065612,Territorio,12,Baja Digitalización,0,Media (Sincroniza)
Ceuta y Melilla,77.32685629417668,Territorio,1,Alta Digitalización,-1,Alta (Anticipa)
S_Primario,0.0,Sector,4,Baja Digitalización,0,Media (Sincroniza)
S_Secundario_exConstr,30.35,Sector,2,Alta Digitalización,0,Media (Sincroniza)
S_Construccion,15.14,Sector,3,Baja Digitalización,1,Baja (Retarda)
S_Terciario,36.88,Sector,1,Alta Digitalización,-1,Alta (Anticipa)
