Unidad,Valor,Tipo,Ranking_Grupo,Perfil
Andalucia,75.49657860192569,Territorio,7,Alta Digitalización
Aragon,74.61581792340958,Territorio,11,Baja Digitalización
Asturias,72.12932703272241,Territorio,18,Baja Digitalización
Baleares,76.81632617898222,Territorio,2,Alta Digitalización
Canarias,75.75293904060153,Territorio,6,Alta Digitalización
Cantabria,73.45760546308378,Territorio,15,Baja Digitalización
Castilla Leon,72.89820023713072,Territorio,17,Baja Digitalización
Castilla la Mancha,75.4115293550855,Territorio,8,Alta Digitalización
Cataluña,75.8546922709628,Territorio,5,Alta Digitalización
Valencia,75.12707625604965,Territorio,9,Alta Digitalización
Extremadura,74.25059522401365,Territorio,13,Baja Digitalización
Galicia,73.37722542153048,Territorio,16,Baja Digitalización
Madrid,76.2267456330001,Territorio,4,Alta Digitalización
Murcia,76.4119038219989,Territorio,3,Alta Digitalización
Navarra,75.08508291513391,Territorio,10,Baja Digitalización
Pais Vasco,73.84413725429486,Territorio,14,Baja Digitalización
La Rioja,74.5262771065612,Territorio,12,Baja Digitalización
Ceuta y Melilla,77.32685629417668,Territorio,1,Alta Digitalización
S_Primario,0.0,Sector,4,Baja Digitalización
S_Secundario_exConstr,30.35,Sector,2,Alta Digitalización
S_Construccion,15.14,Sector,3,Baja Digitalización
S_Terciario,36.88,Sector,1,Alta Digitalización
