comunidad,peso_SP_medio,Cluster SP,riesgo_medio,desv_riesgo,Peso SP (%),Riesgo medio,Desv. típica riesgo,Riesgo Nivel,Variación riesgo,grupo_terri
PaisVasco,0.0672930483467755,peso_alto_SP,0.49996910568050784,0.3221067373228581,0.067,0.500,0.322,Alto,Alta,altoriesgo-alto_sp
1_altoR-altoSP,0.06743298509269739,peso_alto_SP,0.5029198921563941,0.32179081557008293,0.067,0.503,0.322,Alto,Alta,altoriesgo-alto_sp
Ceuta_Melilla,0.07494063003217775,peso_alto_SP,0.5480207210749107,0.3239382575576314,0.075,0.548,0.324,Alto,Alta,altoriesgo-alto_sp
3_altoR-bajoSP,0.039904816739718296,peso_bajo_SP,0.5304383660269203,0.32599041425908326,0.040,0.530,0.326,Alto,Alta,altoriesgo-bajo_sp
Madrid,0.040737699607897346,peso_bajo_SP,0.5321578493974064,0.3292934465976573,0.041,0.532,0.329,Alto,Alta,altoriesgo-bajo_sp
Murcia,0.029941107118809363,peso_bajo_SP,0.49785507645333477,0.2946985932318667,0.030,0.498,0.295,Alto,Baja,altoriesgo-bajo_sp
2_altoR-medioSP,0.055513239370952226,peso_medio_SP,0.5072384338544587,0.3114407372214419,0.056,0.507,0.311,Alto,Media,altoriesgo-medio_sp
Baleares,0.054182982284337725,peso_medio_SP,0.5303932590055278,0.32199017349775005,0.054,0.530,0.322,Alto,Alta,altoriesgo-medio_sp
Valencia,0.0560591178041684,peso_medio_SP,0.5021563937753648,0.3180846015671529,0.056,0.502,0.318,Alto,Alta,altoriesgo-medio_sp
Extremadura,0.07711554525706801,peso_alto_SP,0.422220574092946,0.29001004128071683,0.077,0.422,0.290,Bajo,Baja,bajoriesgo-alto_sp
Asturias,0.08448845698454471,peso_alto_SP,0.43693186539086587,0.29067650052073074,0.084,0.437,0.291,Bajo,Baja,bajoriesgo-alto_sp
9_bajoR-bajoSP,0.04147217177618205,peso_bajo_SP,0.4368044058088739,0.3258041653248194,0.041,0.437,0.326,Bajo,Alta,bajoriesgo-bajo_sp
Cantabria,0.043082275908534015,peso_bajo_SP,0.4593800029738961,0.2917218846643492,0.043,0.459,0.292,Bajo,Baja,bajoriesgo-bajo_sp
Cataluña,0.04139689732026426,peso_bajo_SP,0.4345150670367986,0.3272897244214329,0.041,0.435,0.327,Bajo,Alta,bajoriesgo-bajo_sp
5_medioR-medioSP,0.059151289488921524,peso_medio_SP,0.44785863476567356,0.3053921366126851,0.059,0.448,0.305,Bajo,Media,bajoriesgo-medio_sp
8_bajoR-medioSP,0.06012536614050621,peso_medio_SP,0.39979039556348667,0.3005069905348078,0.060,0.400,0.301,Bajo,Baja,bajoriesgo-medio_sp
LaRioja,0.061414081470421274,peso_medio_SP,0.4453836774518339,0.31361646725759235,0.061,0.445,0.314,Bajo,Media,bajoriesgo-medio_sp
Galicia,0.05941590015549684,peso_medio_SP,0.3764124825262711,0.30140919856759235,0.059,0.376,0.301,Bajo,Media,bajoriesgo-medio_sp
7_bajoR-altoSP,0.08141847391589202,peso_alto_SP,0.4598151076373503,0.2817496882170464,0.081,0.460,0.282,Medio,Baja,medioriesgo-alto_sp
4_medioR-altoSP,0.06457950173784938,peso_alto_SP,0.4932483875498469,0.31116354757365217,0.065,0.493,0.311,Medio,Media,medioriesgo-alto_sp
CastillaLaMancha,0.06151325971469843,peso_alto_SP,0.4927449657390606,0.31286265011042935,0.062,0.493,0.313,Medio,Media,medioriesgo-alto_sp
CastillaLeon,0.06683100013861948,peso_alto_SP,0.46477726131562136,0.30879319622505697,0.067,0.465,0.309,Medio,Media,medioriesgo-alto_sp
Navarra,0.03849753880497677,peso_bajo_SP,0.48106025337963815,0.3045480207194227,0.038,0.481,0.305,Medio,Media,medioriesgo-bajo_sp
6_medioR-bajoSP,0.044573559962569814,peso_bajo_SP,0.4719632725840006,0.29309254728263623,0.045,0.472,0.293,Medio,Baja,medioriesgo-bajo_sp
Andalucia,0.04522911140972718,peso_bajo_SP,0.4764472591779249,0.28821990410564957,0.045,0.476,0.288,Medio,Baja,medioriesgo-bajo_sp
Canarias,0.057842769603246635,peso_medio_SP,0.46001882514814585,0.29464222611764673,0.058,0.460,0.295,Medio,Baja,medioriesgo-medio_sp
Aragon,0.06045475915817924,peso_medio_SP,0.4791827699902643,0.30456954735355174,0.060,0.479,0.305,Medio,Media,medioriesgo-medio_sp
