,Categoría,Media,Mínimo,Máximo,Mediana,N.º Obs
0,PIB,"1.035.251,85","648.997,71","1.374.323,28","1.073.973,73",23
1,SConstrVAB,"80.235,70","57.404,00","120.577,00","75.158,00",23
2,SPrimVAB,"29.932,13","26.133,00","36.222,00","28.777,00",23
3,SSecVAB,"160.143,96","123.835,00","216.399,00","159.917,00",23
4,STerVAB,"678.825,47","384.376,64","934.056,31","714.752,73",23
5,importemedptmo,"2.919,36","2.016,00","3.416,87","2.956,97",23
6,numoficinas,"36.934,30","19.757,00","48.073,00","41.011,00",23
7,numprestamo,"26.863,24","2.016,00","49.383,36","22.364,57",23
8,rentapc,"269.570,52","198.938,00","331.491,00","274.247,00",23
9,tparo,"2.284,63","2.152,34","2.459,67","2.271,58",23
