,Variable,Media,Mínimo,Máximo,Mediana
0,00_empleados,"3.936,72","1.231,60","11.655,50","2.000,00"
1,01_empleados,"4.084,74","1.233,30","12.272,40","2.014,00"
2,02_empleados,"4.187,34","1.220,00","12.757,50","2.093,20"
3,03_empleados,"4.318,92","1.222,40","13.333,90","2.185,30"
4,04_empleados,"4.471,04","1.201,90","14.004,40","2.297,20"
5,05_empleados,"4.659,12","1.184,10","14.794,10","2.471,60"
6,06_empleados,"4.861,30","1.140,40","15.719,00","2.640,30"
7,07_empleados,"5.014,56","1.122,90","16.412,30","2.742,10"
8,08_empleados,"5.041,06","1.086,70","16.934,80","2.464,80"
9,09_empleados,"4.758,06","1.045,00","16.451,70","2.009,00"
10,10_empleados,"4.666,84","1.070,90","16.326,80","2.010,00"
11,11_empleados,"4.570,78","1.053,90","16.196,80","2.011,00"
12,12_empleados,"4.400,18","1.026,20","15.768,80","2.000,80"
13,13_empleados,"4.320,86","1.013,40","15.622,30","1.901,80"
14,14_empleados,"4.371,04","1.017,10","15.906,40","1.884,70"
15,15_empleados,"4.498,64","1.029,10","16.402,30","1.937,80"
16,16_empleados,"4.603,96","1.070,10","16.794,70","2.008,80"
17,17_empleados,"4.722,68","1.089,30","17.255,70","2.017,00"
18,18_empleados,"4.812,32","1.091,30","17.576,10","2.018,00"
19,19_empleados,"4.920,52","1.088,80","17.953,00","2.019,00"
20,20_empleados,"4.448,16","1.042,60","15.941,10","1.990,30"
21,21_empleados,"4.765,32","1.111,50","17.293,20","2.021,00"
22,22_empleados,"4.977,14","1.093,40","18.222,10","2.022,00"
23,23_empleados,"5.130,12","1.083,50","18.874,50","2.023,00"
24,24_empleados,"5.253,92","1.093,30","19.350,80","2.024,00"
25,00_VAB,"250.896,20","2.000,00","933.243,00","73.136,00"
26,01_VAB,"224.119,20","2.001,00","833.388,00","65.544,00"
27,02_VAB,"206.593,20","2.002,00","772.328,00","63.700,00"
28,03_VAB,"227.994,20","2.003,00","855.912,00","73.774,00"
29,04_VAB,"219.969,80","2.004,00","825.812,00","67.144,00"
30,05_VAB,"212.625,40","2.005,00","795.431,00","64.233,00"
31,06_VAB,"204.281,20","2.006,00","765.509,00","61.744,00"
32,07_VAB,"197.988,60","2.007,00","741.745,00","58.924,00"
33,08_VAB,"189.700,20","2.008,00","713.804,00","55.390,00"
34,09_VAB,"187.930,00","2.009,00","705.460,00","55.533,00"
35,10_VAB,"191.009,40","2.010,00","712.724,00","64.407,00"
36,11_VAB,"197.401,60","2.011,00","725.843,00","75.556,00"
37,12_VAB,"198.353,60","2.012,00","716.125,00","89.685,00"
38,13_VAB,"201.516,00","2.013,00","715.519,00","110.029,00"
39,14_VAB,"205.463,60","2.014,00","707.809,00","118.569,00"
40,15_VAB,"194.602,40","2.015,00","661.079,00","116.462,00"
41,16_VAB,"180.055,60","2.016,00","603.811,00","111.572,00"
42,17_VAB,"167.009,60","2.017,00","555.614,00","100.903,00"
43,18_VAB,"155.578,00","2.018,00","517.121,00","88.836,00"
