,Nombre,Tipo de variable,Media,Mínimo,Máximo,Mediana
0,Año,Cuantitativa discreta,"1.992,50","1.960,00","2.025,00","1.992,50"
1,I1_%CapTot,Cuantitativa continua,"130,37","41,38","215,49","132,51"
2,I1_%Dep,Cuantitativa continua,"20,86","12,65","30,29","20,78"
3,I1_%Empleo,Cuantitativa continua,"59,44","47,41","68,33","61,78"
4,I1_%InvPriv_PIB,Cuantitativa continua,"10,24","7,49","12,41","10,36"
5,I1_%Paro,Cuantitativa continua,"12,55","1,60","26,10","14,00"
6,I1_%PobAct,Cuantitativa continua,"65,72","62,34","68,92","66,09"
7,I1_Deficit,Cuantitativa continua,"-1.678.242,09","-7.273.423,17","1.677.948,25","-1.030.352,50"
8,I1_IPC_%Var,Cuantitativa continua,"6,34","-0,50","24,44","4,70"
9,I1_IPI,Cuantitativa continua,"98,87","70,41","130,70","98,59"
10,I1_IVU_Exp,Cuantitativa continua,"67,67","12,16","125,38","75,07"
11,I1_IVU_Imp,Cuantitativa continua,"68,44","8,65","124,58","75,05"
12,I1_PIB_pc,Cuantitativa continua,"13,49","0,65","33,85","13,46"
13,I1_Prod,Cuantitativa continua,"47,48","14,92","63,95","52,85"
14,I1_VAB_SPrim_b20cvec,Cuantitativa continua,"91,13","62,71","107,04","89,09"
15,I1_VAB_SSec_b20cvec,Cuantitativa continua,"105,11","84,39","116,77","106,66"
16,I1_VAB_STerc_b20cvec,Cuantitativa continua,"93,06","60,12","128,30","96,98"
17,I1_VAB_b20cvec,Cuantitativa continua,"97,34","67,63","123,03","100,41"
18,I2_Conf_Const,Cuantitativa continua,"-10,01","-55,98","21,42","-5,95"
19,I2_Conf_Hogar,Cuantitativa continua,"-4,84","-23,13","8,26","-2,95"
20,I2_Conf_Ind,Cuantitativa continua,"-7,67","-33,23","2,77","-4,86"
21,I2_Licit_Viv,Cuantitativa continua,"1.506.839,65","492.342,48","3.683.775,50","1.097.876,92"
22,I2_Veh_Ind,Cuantitativa continua,"15.543,18","4.889,50","35.537,17","14.709,79"
23,I2_Ventas_Veh,Cuantitativa continua,"93.929,34","58.299,08","137.443,33","87.817,29"
24,I3_%Margen_Int,Cuantitativa continua,"1,55","0,85","3,55","1,31"
25,I3_Bonos,Cuantitativa continua,"473,52","-2.189,92","4.620,92","381,42"
26,I3_Deuda_cp,Cuantitativa continua,"12,75","3,02","51,23","6,05"
27,I3_Deuda_lp,Cuantitativa continua,"15,82","1,38","37,46","13,68"
28,I3_IBEX_%rentab,Cuantitativa continua,"863,52","-21.747,26","18.926,39","5.103,48"
29,I3_Letras,Cuantitativa continua,"155,95","-1.710,33","2.786,50","70,92"
30,I3_NPL,Cuantitativa continua,"21,01","9,68","40,79","17,05"
31,I3_Oblig,Cuantitativa continua,"2.569,21","-8,75","8.741,50","1.455,42"
32,I3_TAE_%,Cuantitativa continua,"3,72","2,11","6,19","3,85"
33,I4_%pact_Salarios,Cuantitativa continua,"3,73","0,56","11,57","2,97"
34,I4_%var_Cotiz,Cuantitativa continua,"6,34","-3,07","15,01","7,37"
35,I4_%var_Desempleo,Cuantitativa continua,"5,90","-26,98","65,20","5,47"
36,I4_%var_Pensiones,Cuantitativa continua,"7,14","-3,43","24,93","6,41"
37,I4_Afiliados,Cuantitativa continua,"15.559.811,15","10.532.817,42","21.487.916,67","16.359.667,08"
38,I4_Paro_%var,Cuantitativa continua,"6,40","-21,94","71,40","0,84"
39,I5_%Precio_Viv_Renta,Cuantitativa continua,"6,05","3,09","9,36","6,71"
40,I5_Cem,Cuantitativa continua,"2.016,84","895,25","4.666,42","1.756,71"
41,I5_Hip_Int%,Cuantitativa continua,"5,80","1,62","16,50","3,75"
42,I5_Hip_Ratio%_Dud,Cuantitativa continua,"2,66","0,33","6,08","2,62"
